"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Strength","Strength","","","","2025-07-09","","0","","","","","0.501076102256775","0","","","","100","134","","","0.612862741825024","20.49","28","2","0","0","0","0","0","","","","","","","","","","","","","","",""
"Endurance","Bike","Endurance Z2","1","","2025-07-10","PSE: Percepção Subjetiva de Esforço Regenerativo: 1-2 Endurance: 2-3 Tempo (moderado): 4-5 Limiar: 6-7 Vo2 Máx: 8 Cap. Anaeróbica: 9 Potência Neuromuscular: 10","","","",""," *13/07/2025 Felipe da Cruz Rodolpho: Fiz o treino no dia certo, mas devido ao fuso, marca como feito na quarta-feira* *14/07/2025 SAAB SPORTS: aaah verdade.. é louco isso ne*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indoor Cycling","Bike","","","","2025-07-10","","0","","",""," *14/07/2025 SAAB SPORTS: eu trouxe pra ca*","0.969241380691528","0","","","","113","139","","","0.602839840997927","38.99","27","29","2","0","0","","","","","","","","","","","","","","","","3","5"
"Low Aerobic Z2","Run","Aerobico leve/confortável (z2/3)","0.666666666666667","","2025-07-11","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","8235.6298828125","","","","","0.692135274410248","3.3050000667572","","164","","143","160","","","0.82603730766004","51.84","5","18","18","0","0","","","","","","","","","","","","","","","","4","5"
"400pb/400 (25-50-25)","Swim","300 aquec 400 pull-buoy (50r3. 25r5. 25livre) 400 (25téc. 50progressivo. 25fácil) 200 solto","0.666666666666667","1300","2025-07-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Longo Confortável","Bike","Longo confortável Importante não forçar o ritmo. Pedale com calma, curtindo o dia. Ritmo de conversa!","1.66666666666667","","2025-07-12","PSE: Percepção Subjetiva de Esforço Regenerativo: 1-2 Endurance: 2-3 Tempo (moderado): 4-5 Limiar: 6-7 Vo2 Máx: 8 Cap. Anaeróbica: 9 Potência Neuromuscular: 10","0","","",""," *14/07/2025 SAAB SPORTS: bike de academia*","1.3334653377533","0","","","","129","156","","","0.657595251946694","64.35","11","42","27","1","0","","","","","","","","","","","","","","","","3","3"
"Lap Swimming","Swim","","","","2025-07-12","","1828.80004882813","","","","","0.451910280121697","1.11853213995604","","21","","124","144","","","0.28102924181464","1","7","10","6","5","0","0","0","","","","","","","","","","","","","","2","3"
"Foco em z4 (Moderado firme)","Run","3km AQ 8km z4 2km leve","1.06055555555556","13000","2025-07-13","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","13057.5","","",""," *13/07/2025 Felipe da Cruz Rodolpho: correr neste calor é um sofrimento, mas completei.* *14/07/2025 SAAB SPORTS: meu deus.. nem consigo imaginar rs mas que bom que esta conseguindo treinar ai otimo 8k*","1.05385947227478","3.44199991226196","","165","","160","179","","","0.858523663052009","86.16","1","14","6","26","16","","","","","","","","","","","","","","","","9","7"
"OFF","Day Off","","","","2025-07-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-07-14","","6375.2900390625","","",""," *14/07/2025 SAAB SPORTS: como esta por ai Fe?*","0.550679981708527","3.21600008010864","","162","","134","148","","","0.803850913113951","38.83","5","27","1","0","0","","","","","","","","","","","","","","","","3","3"
"3X500","Swim","600-800 aquec. 200 (25 tec. 25nd leve) 8x 25 (15m moderado 10m solto) com 15seg 3x 500 pull+palmar leve 500 solto","","2500","2025-07-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30min TEMPO + 10min TT","Bike","15min aquec. 30min TEmpo 10min giro leve 1x 10min TT (melhor que conseguir sustentar) complete em giro leve","1.16666666666667","","2025-07-15","PSE: Percepção Subjetiva de Esforço Regenerativo: 1-2 Endurance: 2-3 Tempo (moderado): 4-5 Limiar: 6-7 Vo2 Máx: 8 Cap. Anaeróbica: 9 Potência Neuromuscular: 10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-07-15","","6498.97021484375","","",""," *15/07/2025 SAAB SPORTS: dois dias de corrida seguido? o que houve?*","0.514432489871979","3.5090000629425","","165","","142","160","","","0.877043765496873","43.11","2","19","10","0","0","","","","","","","","","","","","","","","","4","1"
"Aeróbico Progressivo","Run","35 min Aquecimento contínuo em Z2 (Aeróbico Leve) Progressivo: 5 min Z2 (Aeróbico Leve) Um pouco mais forte que o aquecimento. 5 min Z3 (Aeróbico Moderado) 3 min Z4 (Aeróbico Intenso) 12 min leve em Z2 (Aeróbico Leve)","1","","2025-07-16","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","8570.830078125","","","","","0.715523064136505","3.32699990272522","","163","","143","162","","","0.83179639733356","54.39","4","18","20","0","0","","","","","","","","","","","","","","","","2","1"
"Lap Swimming","Swim","","","","2025-07-16","","1350","","","","","0.359509722391764","1.03766333589546","","23","","113","134","","","0.260771807160861","0.64","13","8","1","0","0","0","0","","","","","","","","","","","","","","2","3"
"1X1300","Swim","500 livre 1x 1300 pull-boy +palmar leve 700 solto","","2500","2025-07-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3x 15min Tempo","Bike","15min aquec./endurance 3 x 15min Tempo com 5min giro leve 15min giro leve","1.5","","2025-07-17","PSE: Percepção Subjetiva de Esforço Regenerativo: 1-2 Endurance: 2-3 Tempo (moderado): 4-5 Limiar: 6-7 Vo2 Máx: 8 Cap. Anaeróbica: 9 Potência Neuromuscular: 10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rodagem 15k","Run","Aeróbico leve/ confortável","1.30194444444444","15000","2025-07-18","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","6907.47021484375","","","","","0.54271000623703","3.53500008583069","","165","","157","176","","","0.883862034668998","46.24","1","4","8","18","1","","","","","","","","","","","","","","","","5","3"
"OFF","Day Off","","","","2025-07-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Longo Confortável","Bike","Longo confortável Importante não forçar o ritmo. Pedale com calma, curtindo o dia. Ritmo de conversa!","3","","2025-07-20","PSE: Percepção Subjetiva de Esforço Regenerativo: 1-2 Endurance: 2-3 Tempo (moderado): 4-5 Limiar: 6-7 Vo2 Máx: 8 Cap. Anaeróbica: 9 Potência Neuromuscular: 10","0","123","208","479.064","","1.0834139585495","0","","77","","127","141","","","0.728878542102114","57.04","0","63","2","0","0","","","","","","1","48","16","0","0","0","","","","","3","3"
"2x 750","Swim","600 aquec. 3x 100 (25 tec. 75nd leve) 2x 750 pull+palmar leve 500 solto","","2900","2025-07-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-07-20","","12517.73046875","","","","","0.96461421251297","3.60500001907349","","165","","153","170","","","0.898440106224653","86.16","2","5","38","12","0","","","","","","","","","","","","","","","","6","3"
"A1","Swim","8x 200 ou 300 com 1min 1. aquec. 2. (25 tec. 75nd moderado) 3,4, pull-buoy moderado 5,6, pull+palmar moderado 7 pé de pato, pernada 8. solto","0.75","","2025-07-21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Endurance","Bike","Endurance leve","1.25","","2025-07-22","PSE: Percepção Subjetiva de Esforço Regenerativo: 1-2 Endurance: 2-3 Tempo (moderado): 4-5 Limiar: 6-7 Vo2 Máx: 8 Cap. Anaeróbica: 9 Potência Neuromuscular: 10","31758.970703125","115","165","523.207"," *21/07/2025 SAAB SPORTS: mudei para leve*","1.25611114501953","7.02299976348877","","75","","125","204","","","0.692854001599416","59.85","2","71","1","0","2","","","","","","6","57","12","0","0","0","","","","","",""
"speed form 8x 40""/1'20""","Run","20min aquecimento 8x 40seg forte com 1min20 confortável complete em ritmo leve","0.833333333333333","","2025-07-23","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","9841.3798828125","","",""," *23/07/2025 Felipe da Cruz Rodolpho: Favor ignorar a frequência, pois marcou tudo errado. Parei algumas vezes para ver se arrumava, mas nao funcionou*","0.843450248241425","3.2409999370575","","157","","170","212","","","0.804800981568166","60.23","5","9","10","2","3","","","","","","","","","","","","","","","","5","3"
"Técnica","Swim","200 aquec 8x 50m (25m cr r3 + 25m cr r5), com 20'' int 300m cr (pull + palmar) 200m solto","0.7","1500","2025-07-23","trabalhe educativos no aquecimento ----------------------- r3: respire a cada 3 br /r5: respire a cada 5 br ----------------------- utilize pull+palmar, puxando firme e realizando movimento completo da br submersa","2350","","","","","0.525207500457764","1.24207188160677","","24","","119","137","","","0.310723750712254","1.58","12","13","6","1","0","0","0","","","","","","","","","","","","","","3","1"
"2x 8x 1min limiar","Bike","20min aquecimento 8x 1min limiar com 30seg leve 5min giro 8x 1min limiar com 30seg leve 10min leve","0.983333333333333","","2025-07-24","PSE: Percepção Subjetiva de Esforço Regenerativo: 1-2 Endurance: 2-3 Tempo (moderado): 4-5 Limiar: 6-7 Vo2 Máx: 8 Cap. Anaeróbica: 9 Potência Neuromuscular: 10","30334.05078125","113","278","441.903"," *24/07/2025 Felipe da Cruz Rodolpho: A frequência só marcou certo da segunda série para frente. Antes disso, favor ignorar. Tirando isso, foi tudo bem.*","1.04583334922791","8.05599975585938","","78","","141","230","","","0.765507252140968","60.61","6","20","14","6","18","","","","","","27","21","4","6","5","1","","","","","",""
"Z2/3","Run","Aerobico leve/confortável (z2/3)","0.666666666666667","","2025-07-25","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","7766.5498046875","","",""," *25/07/2025 Felipe da Cruz Rodolpho: treino bem tranquilo. Ritmo bom, sem esforço* *25/07/2025 SAAB SPORTS: show Fe!! se sentindo preparado para domingo?*","0.642591714859009","3.35700011253357","","165","","141","152","","","0.841632079420598","49.86","1","36","2","0","0","","","","","","","","","","","","","","","","3","1"
"6x25/3x100/1x400","Swim","200 aquecimento 6x 25 progressivo no tiro com 10seg 3x 100 (mat. livre) melhor média com 30seg 1x 400 (mat, livre) firme (sem ficar passeando) completar treino Lvre","0.666666666666667","","2025-07-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"off","Day Off","","","","2025-07-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2025-07-27","","80024.8125","145","382","1343.054","","2.58777785301208","8.59000015258789","","83","","181","230","","","0.8959667446295","206.67","2","3","7","50","93","","","","","","16","27","46","42","15","9","","","","","",""
"Open Water Swimming","Swim","","","","2025-07-27","","1954.26000976563","","",""," *28/07/2025 SAAB SPORTS: bela nataçao..*","0.560013055801392","0.968999981880188","","28","","179","230","","","0.242338101357228","0.8","0","2","0","0","0","0","31","","","","","","","","","","","","","","",""
"Transition","Other","","","","2025-07-27","","334.070007324219","","","","","0.0444399975240231","2.08800005912781","","46","","194","230","","","1.16824155652648","6.14","0","0","0","0","0","0","3","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2025-07-27","","81331.8671875","145","386","1353.079"," *28/07/2025 SAAB SPORTS: 151np mto constante, a variaçao foi quase pouca a FC que achei mto alta. vc viu? 180.. tem uns picos as vezes... forço numa subidas? tem uns trecho la que a potencia nao subiu mas a FC arcou 206... deu pau ne?*","2.60861086845398","8.66100025177002","","82","","189","230","","","0.896065604813333","208.16","2","2","7","51","93","","","","","","17","28","45","41","16","9","","","","","",""
"Transition","Other","","","","2025-07-27","","171.429992675781","","","","","0.0380583330988884","1.25100004673004","","30","","147","161","","","1.0197920846862","4.01","0","0","0","1","0","0","1","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-07-27","","21095.970703125","","",""," *28/07/2025 SAAB SPORTS: caraca Fe.. correu bem demais! e ate acelerando no final acha que a bike foi na dose certa para conseguir correr bem?*","1.61992001533508","3.61700010299683","","169","","158","168","","","0.902855513846546","147.96","0","0","28","68","0","","","","","","","","","","","","","","","","8","3"
"OFF","Day Off","","","","2025-07-28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3x100+3x400","Swim","500 aquec. 3x 100 (25 tec. 75nd moderado) com 10seg 3x 400 (1nd, 1 pull-buoy, 1 palmar) moderado com 30seg 600 solto","0.75","","2025-07-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1:15h Endurance","Bike","Endurance leve","1.25","","2025-07-29","PSE: Percepção Subjetiva de Esforço Regenerativo: 1-2 Endurance: 2-3 Tempo (moderado): 4-5 Limiar: 6-7 Vo2 Máx: 8 Cap. Anaeróbica: 9 Potência Neuromuscular: 10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z2/3","Run","Aerobico leve/confortável (z2/3)","0.833333333333333","","2025-07-30","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","6304.64990234375","","",""," *30/07/2025 SAAB SPORTS: recuperado, Fe? dolorido do fds ainda ou nao? me avisa se quiser mudar alguma coisa dos treinos.. depois de viagens e provas.. se quiser podemos deixar o fds mais livre para vc descansar um pouco.. o que voce acha?* *31/07/2025 Felipe da Cruz Rodolpho: Seria ótimo reduzir agora. Ainda nao estou 100%. Por isso que nao estou fazendo todos os treinos*","0.529221951961517","3.30900001525879","","158","","152","208","","","0.847280162823625","41.42","2","11","15","0","0","","","","","","","","","","","","","","","","3","3"
"300/5x100","Swim","200 aquec 300 (25forte. 50r3) 5x 100 pull+palmar (3mod. 2limiar) com 20seg 400 solto","1","1400","2025-07-30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SWIM EXPERIENCE - VIRADA DE LOTE DAS INSCRIÇÕES","Other","VEM AÍ O III SWIM EXPERIENCE ILHABELA! De 5 a 7 de setembro Três dias de imersão total nas águas abertas, com estrutura de ponta, paisagens incríveis e orientação de duas especialistas no assunto: Thais Sant’Ana e Talita Saab. Serão: ✔ Sessões de biomecânica com análise técnica e feedback individual (ingresso vendido separadamente) ✔ Treinos práticos na Praia da Siriúba ✔ Expedição de barco com travessias de até 5K ✔ Uma experiência real de evolução na natação em mar aberto! Vagas limitadas! O dia extra com foco em Biomecânica tem apenas 6 vagas (ingresso à parte). Inscrições via Sympla: https://www.sympla.com.br/evento/iii-swim-experience-ilhabela/3024779 Garanta sua vaga antes da virada de lote dia 01/08 Para pagamento via PIX com desconto da taxa do Sympla, entre em contato com a organização: (15) 99245-0404 — Rosana Realização: @saabsports Organização: @swimhausbr","","","2025-07-31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1:00h Endurance","Bike","Endurance leve","1","","2025-07-31","PSE: Percepção Subjetiva de Esforço Regenerativo: 1-2 Endurance: 2-3 Tempo (moderado): 4-5 Limiar: 6-7 Vo2 Máx: 8 Cap. Anaeróbica: 9 Potência Neuromuscular: 10","20218.509765625","100","209","334.565","","0.922500014305115","6.08799982070923","","79","","113","132","","","0.600172950654716","32.79","16","39","0","0","0","","","","","","13","42","0","0","0","0","","","","","",""
"2x Fartlek","Run","15min aquec. Educativos 5 sprints de 30seg com 1min trote 2x (com 2min trote entre séries): 15seg forte - 15seg trote 30seg forte - 30seg trote 45seg forte - 45seg trote 1min forte - 1min Trote complete o treino em trote leve","0.775","","2025-08-01","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","6334.97021484375","","","","","0.536268889904022","3.28099989891052","","159","","141","156","","","0.807630129432192","38.16","6","12","14","0","0","","","","","","","","","","","","","","","","2","3"
"SWIM EXPERIENCE - VIRADA DE LOTE DAS INSCRIÇÕES","Other","VEM AÍ O III SWIM EXPERIENCE ILHABELA! De 5 a 7 de setembro Três dias de imersão total nas águas abertas, com estrutura de ponta, paisagens incríveis e orientação de duas especialistas no assunto: Thais Sant’Ana e Talita Saab. Serão: ✔ Sessões de biomecânica com análise técnica e feedback individual (ingresso vendido separadamente) ✔ Treinos práticos na Praia da Siriúba ✔ Expedição de barco com travessias de até 5K ✔ Uma experiência real de evolução na natação em mar aberto! Vagas limitadas! O dia extra com foco em Biomecânica tem apenas 6 vagas (ingresso à parte). Inscrições via Sympla: https://www.sympla.com.br/evento/iii-swim-experience-ilhabela/3024779 Garanta sua vaga antes da virada de lote dia 01/08 Para pagamento via PIX com desconto da taxa do Sympla, entre em contato com a organização: (15) 99245-0404 — Rosana Realização: @saabsports Organização: @swimhausbr","","","2025-08-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10x50","Swim","300 aquec. 10x 50 (2 forte 2 facil) com 20seg 200 solto","0.75","","2025-08-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Longo Confortável","Bike","Longo confortável Importante não forçar o ritmo. Pedale com calma, curtindo o dia. Ritmo de conversa!","2","","2025-08-02","PSE: Percepção Subjetiva de Esforço Regenerativo: 1-2 Endurance: 2-3 Tempo (moderado): 4-5 Limiar: 6-7 Vo2 Máx: 8 Cap. Anaeróbica: 9 Potência Neuromuscular: 10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-08-02","","11086.5703125","","","","","0.934329986572266","3.2960000038147","","163","","134","145","","","0.827003285483744","70.66","8","48","0","0","0","","","","","","","","","","","","","","","","2","1"
"9/6/3/1","Bike","20min aquec. 9min Tempo (alto) 6min SST/Limiar 3min Limiar/Vo2 1min Maximo complete em giro leve","0.916666666666667","","2025-08-03","PSE: Percepção Subjetiva de Esforço Regenerativo: 1-2 Endurance: 2-3 Tempo (moderado): 4-5 Limiar: 6-7 Vo2 Máx: 8 Cap. Anaeróbica: 9 Potência Neuromuscular: 10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Transição z2/3","Run","15min leve 15min z3 moderado leve 05min leve","0.583333333333333","","2025-08-03","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","14560.6298828125","","",""," *03/08/2025 Felipe da Cruz Rodolpho: Estou voltando ao normal. Só saí para correr, sem treino, sem se preocupar com nada, somente me sentir bem.* *03/08/2025 Felipe da Cruz Rodolpho: Nesta semana também quero ter um volume baixo, para recuperar 100% e indo voltando à rotina.* *03/08/2025 SAAB SPORTS: perfeito fe! tem que fazer isso mesmo.. se desligar um pouco e fazer por prazer as vezes vou deixar a proxima semana mais livre ok?*","1.07133769989014","3.77500009536743","","169","","145","153","","","0.944378681734386","106.03","2","43","20","0","0","","","","","","","","","","","","","","","","5","1"
"4X500","Swim","4x 500 a1 com 1min 1. nd 2. pull-buoy 3. palmar 4. livre","0.666666666666667","","2025-08-04","","2250","","","","","0.497113056182861","1.25278396436526","","23","","125","144","","","0.314314818443481","1.54","7","11","8","4","0","0","0","","","","","","","","","","","","","","3","3"
"REGENERATIVO 1:15h","Bike","Dia de girar leve e relaxar! Mantenha a baixa intensidade.","1.25","","2025-08-05","","21970.859375","97","134","293.566","","0.837222218513489","7.28900003433228","","78","","116","192","","","0.580535571764987","27.9","14","33","1","1","0","","","","","","16","34","0","0","0","0","","","","","",""
"Z2/3","Run","Aerobico leve/confortável (z2/3)","0.666666666666667","","2025-08-06","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","9186.9501953125","","","","","0.700781404972076","3.64199995994568","","166","","141","154","","","0.910425059527073","63.78","6","26","10","0","0","","","","","","","","","","","","","","","","4","1"
"3x400","Swim","3x 400 com 1min 1. aquec. 2. pull-buoy (25 forte 75 leve) 3. livre","","1600","2025-08-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REGENERATIVO 1:15h","Bike","Dia de girar leve e relaxar! Mantenha a baixa intensidade.","1.25","","2025-08-07","","21067.7109375","109","334","282.056","","0.713888883590698","8.19699954986572","","72","","118","155","","","0.727175085141317","37.46","8","33","2","0","0","","","","","","10","29","2","0","0","1","","","","","",""
