"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"TESTES - fc 150 e limiar de 6:00 a 5:30 - deixando a 5:40","Run","fc 150 e limiar de 6:00 a 5:30 - deixando a 5:40","0.666666666666667","","2025-08-28","","","","",""," *08/28/2025 SAAB SPORTS: fc 150 e limiar de 6:00 a 5:30 - deixando a 5:40 chegou no max 12*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2x30min Z2/Z3","Run","30 min Z2 (Aeróbico Leve) 1 min trotando ou caminhando. 30 min Z3 (Aeróbico Moderado)","1.01666666666667","","2025-08-30","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","11827.240234375","185","233","911.818"," *08/31/2025 SAAB SPORTS: nutriiii aqui, cade nossos comentários perfeitos?* *08/31/2025 Joyce Barros Lyra: Ué , não sei o que houve . Mas está tudo comentado.* *08/31/2025 Joyce Barros Lyra: Umidade : 82% Temperatura : 21°C Saí em jejum . Z2 double expresso com 30 min . A corrida do ponto de vista cardiovascular foi ótimo . Mas foi um verdadeiro perrengue chique. Corrida em búzios , com chuva, já batizando meu hoka na estreia . Adorei correr com o Clifton 10 . Trajetória com um pouco de inclinação , terreno irregular alternando entre paralelepípedos , asfalto , terra . No final virou uma corrida de obstáculos desviando dos buracos, lama e poças de água, preocupada em torcer meu pé. Meu tênis ficou encharcado . A chuva e o clima agradável sem vento acredito que contribuíram para aumentar o rendimento . Fui seguindo o ritmo do meu marido . Na volta acelerei (depois dos 7km) um pouco a frente dele. Mas segurei um pouquinho o ritmo pra não deixá-lo muito pra trás. Percepção de esforço de leve a moderado .* *08/31/2025 Joyce Barros Lyra: Perda de suor: 931 ml* *08/31/2025 Joyce Barros Lyra: Check out my run on Stryd! https://www.stryd.com/powercenter/run/6589697568964608* *08/31/2025 Joyce Barros Lyra: Veja que bug que deu que não apareceram pra vc Meus comentários.* *08/31/2025 Joyce Barros Lyra: Comentei no sábado mesmo* *09/02/2025 SAAB SPORTS: apareceu sim para nós aqui Joy!!! gostei mto do treino!! gostei do final para 6:47 isso foi pse de z4 - moderado ?* *09/03/2025 Joyce Barros Lyra: Sim PSE moderado*","1.36989140510559","2.39800000190735","","151","","160","173","","","1.03444574859607","145.55","5","3","5","40","21","9","0","","","","1","0","4","48","29","0","","","","","",""
"OFF","Day Off","","","","2025-08-31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aviso de vencimento do plano de treinamento","Other","Aviso de Vencimento – Plano de Treinamento Lembre-se de manter o pagamento em dia para evitar juros e multas por atraso. Dados para pagamento Pix (CPF): 048.635.329-03 – Guilherme Benites ✅ Caso já tenha realizado o pagamento, desconsidere essa mensagem. Após o depósito, o comprovante deve ser enviado para Rosana no WhatsApp: +55 15 99245-0404, para que a baixa seja realizada corretamente.","","","2025-09-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"speed form 6x 40""/1'20""","Run","20min aquecimento 6x 40seg forte Z8 com 1min20 confortável complete em ritmo leve","0.75","","2025-09-02","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","6796.77001953125","185","247","502.988"," *09/02/2025 SAAB SPORTS: Tem duvidas para o trino Joy? foi correr ja hoje?* *09/03/2025 Joyce Barros Lyra: Sim Corri 21h Na esteira . Pra controlar melhor a velocidade . E tb pq já estava tarde mesmo . Hj foi enrolado . Mas consegui alcançar as metas estipuladas  para hoje no treino.* *09/03/2025 Joyce Barros Lyra: Check out my run on Stryd! https://www.stryd.com/powercenter/run/6192431028928512* *09/03/2025 SAAB SPORTS: nossa, as 21h... meu deus rs mas que bom que treinou! ta valendo que a esteira puxa bem para ativar essa questao de velocidade*","0.754013061523438","2.50399994850159","","148","","162","183","","","1.04918751653153","82.16","3","3","4","10","4","18","4","","","","1","1","1","29","10","4","","","","","4","5"
"OFF - IMUNIDADE BAIXA","Day Off","","","","2025-09-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Foco em z4 (Moderado firme)","Run","3km AQ 8km z4 2km leve","1.44222222222222","13000","2025-09-06","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OFF","Day Off","","","","2025-09-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rodagem 12k","Run","Aeróbico leve/ confortável","1.41666666666667","12000","2025-09-07","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","8396.1396484375","138","244","643.835"," *09/07/2025 SAAB SPORTS: pq esta subindo dois treinos. Joyce?* *09/08/2025 Joyce Barros Lyra: Não sei … Não tenho ideia . Será por causa do garmin e stryd?* *09/09/2025 SAAB SPORTS: tbm nao sei acho que nao é do Strayd vc ta usando outra coisa?* *09/10/2025 Joyce Barros Lyra: Não . Somente o garmin e o stryd.* *09/10/2025 Joyce Barros Lyra: Eu tinha um outro relógio . Ele estava como desconectado . Agora eu exclui pra ver se faz diferença .*","1.29827916622162","1.7960000038147","","124","","146","184","","","0.91011840654414","106.99","31","10","4","4","3","13","13","","","","29","12","1","15","19","2","","","","","9","1"
"Lote de Lançamento – Macaquinho Saab Sports","Other","Lote de Lançamento – Macaquinho Saab Sports Estamos lançando o macaquinho oficial Saab Sports, produzido pela Join! Valor: R$ 880,00 à vista. Prazos de entrega Para quem vai competir no Ironman 70.3 SP → dia 12/09 Para quem vai competir no Troféu Brasil → dia 19/09 Pedidos até amanhã para garantir a entrega nessas datas. Após esse prazo, o tempo de entrega será de 60 dias, com pagamento de 50% no pedido e 50% na entrega. Interessados, me chamem no privado! (15) 99245-0404","","","2025-09-08","","","","","","","0.0411308333277702","","","","","69","77","","","0.541941601851827","1.24","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Regenerativo 40'","Run","Regenerativo","0.666666666666667","","2025-09-09","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","6096.89990234375","195","230","465.377","","0.660754978656769","2.56299996376038","","151","","169","182","","","1.09567829387269","78.28","2","2","2","2","3","5","24","","","","0","0","0","12","25","2","","","","","4","5"
"LIVE ENTRE TREINOS – HOJE!","Other","LIVE ENTRE TREINOS – HOJE!! Às 19h30, pelo Zoom, vamos falar sobre os BENEFÍCIOS DO TREINO DE FORÇA PARA ENDURANCE. Link do Zoom: https://us06web.zoom.us/j/88690754545?pwd=iIytbWqZDM71bBxIk8UnjVACLhbP8o.1 Aberta para todos os atletas Saab! Não perca essa chance de evoluir nos treinos.","","","2025-09-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LIVE: ENTRE TREINOS SAAB SPORTS - DIA 09/09 às 19h30","Other","Nesta terça-feira teremos uma live imperdível para todos os atletas Saab Sports. Tema: Os benefícios do treino de força para endurance Colocaremos o link no grupo de avisos na próxima semana.","","","2025-09-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aviso de vencimento do plano de treinamento","Other","Aviso de Vencimento – Plano de Treinamento. Seu plano de treino vence HOJE! Lembre-se de manter o pagamento em dia para evitar juros e multas por atraso. Dados para pagamento Pix (CPF): 048.635.329-03 – Guilherme Benites ✅ Caso já tenha realizado o pagamento, desconsidere essa mensagem. Após o depósito, o comprovante deve ser enviado para Rosana no WhatsApp: +55 15 99245-0404, para que a baixa seja realizada corretamente.","","","2025-09-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LIVE: ENTRE TREINOS SAAB SPORTS - DIA 10/09 às 19h30","Other","Nesta quarta-feira teremos uma live imperdível para todos os atletas Saab Sports. Tema: Importância da Recuperação: Acompanhamento do Sono, Body Battery e HRV Exclusiva para mentorados Colocaremos o link no grupo de avisos Não perca a oportunidade de aprender como transformar seus treinos!","","","2025-09-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fartlek 5x 2'/3'","Run","15min aquec 25min 2min intenso 3min confortável 5min trote leve","0.833333333333333","","2025-09-11","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","5551.2900390625","","","","","0.799646377563477","1.92799997329712","","127","","152","181","","","0.706317502389625","43.95","12","3","3","18","5","4","3","","","","","","","","","","","","","","",""
"OFF","Day Off","","","","2025-09-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
