"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"2.800","Swim","200 solto 2x 1x400 palmar invertido a1 + 4x100 braço palmar boia a2 + 8x50 ac 50braço palmar boia a3 200 solto","","","2025-08-06","","2800","","",""," *06/08/2025 Sarah Lotif: Natação melhorando, no meu ponto de vista kkkkk*","0.81260472562578","0.953678474114441","","29","","133","156","","","0.234499689143218","1.05","","","","","","","","","","","","","","","","","","","","","3","1"
"Strength","Strength","","","","2025-08-06","","0","","","","","0.615214407444","0","","","","109","154","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1:30h Endurance","Bike","Endurance leve","1.5","","2025-08-07","PSE: Percepção Subjetiva de Esforço Regenerativo: 1-2 Endurance: 2-3 Tempo (moderado): 4-5 Limiar: 6-7 Vo2 Máx: 8 Cap. Anaeróbica: 9 Potência Neuromuscular: 10","28200","","",""," *07/08/2025 Sarah Lotif: Tive um pequeno imprevisto de horário aqui hoje, precisei parar faltando 10min! Tento fazer no final do dia esses 10 depois do meu treino de força!*","1.33333333333333","5.875","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indoor Cycling","Bike","","","","2025-08-07","","28200","","","","","1.33341634273529","5.87463426259236","","","","106","123","","","0.597817370821605","53.17","80","0","0","0","0","0","0","","","","","","","","","","","","","","1","1"
"Strength","Strength","","","","2025-08-07","","0","","","","","0.680109977722168","0","","","","98","127","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.200","Swim","treino CHAVE 500 75 crw 25 palmateio 3x3x300pé de Pato e palmar A3+ 10 A 15 intervalo","","","2025-08-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ENDURANCE","Bike","Dia de rodar em Endurance! Esse treino tem como principais objetivos: aumentar a capacidade aeróbica, melhorar o sistema cardiovascular e tornar o corpo mais eficiente e econômico. Mantenha a intensidade proposta!","3.5","","2025-08-09","PSE: Percepção Subjetiva de Esforço Regenerativo: 1-2 Endurance: 2-3 Tempo (moderado): 4-5 Limiar: 6-7 Vo2 Máx: 8 Cap. Anaeróbica: 9 Potência Neuromuscular: 10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z2/3","Run","Aerobico leve/confortável (z2/3)","0.833333333333333","","2025-08-09","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","9016.4697265625","","","","","0.719858586788177","3.47900009155273","","174","","168","180","","","0.852251189432026","57.46","3","1","9","26","3","0","0","","","","","","","","","","","","","","3","1"
"Race pace 1/2","Run","20min aquecimento leve 45min médio, intenso (provável ritmo para 1/2 maratona) 10min trote leve","1.25","","2025-08-10","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Day-off","Day Off","","","","2025-08-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Run","15min aquecimento progressivo 8x 20seg acelerado/forte (Vo2/velocidade) com 1min40min em ritmo aerobico confortavel (z2/3) 15min em aerobico confortável (Z3) 4min trote leve","0.85","","2025-08-11","Nos tiros de 20seg, o objetivo é trabalhar coordenação e potência. Encontre uma velocidade que seja desafiadora, mas que consiga manter postura. Foque em 2 pontos: - Aplique forca no chão, quando o pé fizer contato. - Braços acelerados e liderando o movimento, buscando CADÊNCIA ALTA!!!! (>190rpm)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45min Big Gear","Bike","30min endurance 45min endurance/tempo - Big Gear! (<75rpm) 30min giro/ endurance leve","1.75","","2025-08-12","Big gear = Marcha pesada, com cadência baixa. Objetivo é aplicar bastante força nos pedais e desenvolver força.","48300","","",""," *12/08/2025 Sarah Lotif: Rpm hoje ficou no 60, carga da bike coloquei no 17/18 🥵 Jesus kkk* *12/08/2025 Sarah Lotif: Os 45min né*","1.75059139728546","7.66407665859155","","","","126","156","","","0.657186762760255","84.94","62","32","10","0","0","0","0","","","","","","","","","","","","","","3","1"
"2.200","Swim","Regenerativo 4x500m 1 mãos fechadas 1 pé de de pato perna prancha 1 nadando com pé de pato 1 braço palmar snorkel 200 solto","","","2025-08-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","15min aquecimento progressivo 30min (3min intenso (Z5/6) 2min aerobico leve (Z3)) 5min regenerativo","0.833333333333333","","2025-08-13","","10280.25","","",""," *13/08/2025 Sarah Lotif: Se fazer esse treino conseguindo respirar já é difícil, imagina com sinusite sem conseguir respirar direito 🤣🤣🤣🤣 pqp, vocês querem me matar cara! Kkkkk Aqui, só um detalhe, até o min 45 eu estava de boa sem sentir panturrilha, na fase final do treino 5 min de desaquecimento ela deu sinais 🤦🏻‍♀️ pqp! Tenho sessão de acupuntura essa sexta, vou trabalhar firme nela de novo, mas os tiros foram ok.*","0.833928346633911","3.42400002479553","","170","","168","183","","","0.841155502063854","65.06","5","6","7","22","11","0","0","","","","","","","","","","","","","","6","1"
"2.600","Swim","600 75 crw 25 palmateio 8x250m sendo .. 1x200m paraquedas braço palmar boia ritimo A1 Tira paraquedas +1x50m braço palmar boia AN ( forte) 100% meta","","","2025-08-13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2025-08-13","","0","","","","","0.667107760906219","0","","","","110","140","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3x 8min limiar","Bike","30min aquecimento progressivo 3x 8min limiar com 8min giro leve completar em giro leve","1.63333333333333","","2025-08-14","","40500","","",""," *14/08/2025 Sarah Lotif: Treino top hoje! Única dificuldade é pra imprimir o hard do jeito que eu gosto, mas n to conseguindo por conta da respiração ( nariz, tosse) mas to entregando o que eu posso!!!🙏🚀*","1.63399088382721","6.88498333212835","","","","118","162","","","0.651258869054858","77.72","73","6","12","7","0","0","0","","","","","","","","","","","","","","3","1"
"Strength","Strength","","","","2025-08-14","","0","","","","","0.558510541915894","0","","","","105","150","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","aeróbico confortável (de preferência, incluir um pouco de subida)","1.25","","2025-08-15","","16111.740234375","","",""," *15/08/2025 Sarah Lotif: Treino hoje foiiii sensacional! Ritmo encaixado, fluiu muito bem que nem me dei conta que estava um pouco mais rápido do que era pra ser hoje kkkkk sorry 🫣🤭*","1.25060856342316","3.5789999961853","","177","","171","180","","","0.878095973125203","107.42","3","2","7","61","2","0","0","","","","","","","","","","","","","","3","1"
"3.200","Swim","200 solto 2x 1x600 palmar invertido boia + 4x100 braço palmar boia a3+ + 8x50 palmar boia a3+ 200 solto","","","2025-08-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Longo Aeróbico","Bike","Longo aeróbico - Não estruturado","4","","2025-08-16","Maior parte do treino deve ser em ritmo leve. No entanto, escolha alguns trechos (ou mesmo trabalhe em grupo) e coloque alguma intensidade (máximo de 20% do treino)","150000","","",""," *16/08/2025 Sarah Lotif: Caraca hoje eu pedalei tá!!! Fiz no rolo do meu aluno, aquele top que tem como fazer as provas e mostra na tela, fiz 2x 52km do percurso do challenge de Florianópolis, e mais 46km de um percurso de ironman que tinha lá, e deu 4h. Foi surreal, primeira vez que eu pedalo na minha própria bike nesse rolo, fiquei na posição por muito tempo, terminei bem! Suplementação alinhada! 🙏🙏* *20/08/2025 SAAB SPORTS: caraca,,, que treinasso!! parabéns!!!!*","4.00052213668823","10.4153071131759","","","","135","165","","","0.660510468084059","200.15","91","130","12","6","0","0","0","","","","","","","","","","","","","","3","1"
"Transição - Endurance","Bike","Treino em rimo aeróbico leve/moderado (Endurance!!!) Cadencia entre 85-100rpm","1.25","","2025-08-17","","28933.7109375","","",""," *17/08/2025 Sarah Lotif: Fiz bem cadenciado! Bem devagar 🙏👏 Foi top, andei aqui dentro da cidade, e tbem não dá pra acelerar aqui dentro não, muito carro, ciclovia que tem cheia de ondulações horrível tá… mas tá bom! Transição foi show! 🙏*","1.25209522247314","6.41900014877319","","","","130","157","","","0.632411884092378","55.78","46","28","2","0","0","0","0","","","","","","","","","","","","","","1","1"
"Running","Run","Aquecimento: 10min em ritmo confortável/leve Série: 40min (8min z4 (aeróbico intenso) 2min z2 (aerobico leve)) complete em trote leve","1","","2025-08-17","","12873.7001953125","","",""," *17/08/2025 Sarah Lotif: Hoje a corrida encaixou perfeitamente! Estou 75% recuperada da tosse, sinus etc… faltando 3 dias pra acabar o antibiótico! Semana que vem já volto pra água! 🙏🚀🚀🚀* *20/08/2025 SAAB SPORTS: vc é animal!! que perfeição nos tiros!!!! parabéns mosntra 4:25 nos tiros* *20/08/2025 Sarah Lotif: Uhuuuul obrigada coach! 🙏🚀🚀🚀 vamos pra cima 🚀*","1.0006091594696","3.57399988174438","","178","","172","183","","","0.875253330882161","84.91","1","0","9","42","8","0","0","","","","","","","","","","","","","","4","1"
"Aerobico leve","Run","aerobico confortavel/leve","0.833333333333333","","2025-08-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2025-08-18","","0","","","","","0.710217773914337","0","","","","105","145","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3x 10min limiar com 5min","Bike","30min endurance leve 3x 1min super giro com 1min giro leve 3x 10min limiar com 5min giro leve completar em giro leve","1.83333333333333","","2025-08-19","","45000","","","","","1.83391666412354","6.81601309619704","","","","124","171","","","0.683341259621247","96.31","74","5","3","22","6","0","0","","","","","","","","","","","","","","4","1"
"2.600","Swim","600 75 crw 25 palmateio 8x250m sendo .. 1x200m paraquedas braço palmar boia ritimo A1 Tira paraquedas +1x50m braço palmar boia AN ( forte) 100% meta","","","2025-08-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","2km aquecimento progressivo 3km (400m forte 200m trote) 1km leve 2km (200m forte 200m trote) complete em trote leve","0.821388888888889","10000","2025-08-20","","10005.259765625","","",""," *20/08/2025 Sarah Lotif: Treino hoje foi perfeito! Super encaixado, tiros alinhados! Foi maraaaaa! Seguimos indo em busca do objetivo! Boraaaa 🙏🚀* *21/08/2025 SAAB SPORTS: Perfeito! Os 2 blocos foram muito consistentes todos abaixo de 4:00 por minuto. 5x400 3:59 3:53 3:51 3:50 3:54 5x200 3:42 3:45 3:47 3:52 3:54 Vamos pra cima pra melhorar cada vez mais*","0.819066643714905","3.39299988746643","","170","","164","180","","","0.831227074458503","62.39","7","4","18","19","2","0","0","","","","","","","","","","","","","","4","1"
"2.900","Swim","300 mãos fechadas 300 25 palmateio /25 nadando mãos fechadas 400 palmar invertido com paraquedas 400 palmar normal pulboia 15x100 RITIMADO COM 20´A2+","","","2025-08-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2025-08-20","","0","","","","","0.702350258827209","0","","","","106","165","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ENDurance (BG) + 30min TEmpo","Bike","15 Minutos trabalhando em ENDurance. Depois, faça 3 x 1 minuto Super Giro com 1' recuperação. Série principal: 1x 15min em Endurance em marcha pesada (<75rpm) 1x 30min TEmpo (85-95rpm) 1x 15min em ENDurance (85-95rpm) Finaliza com 10min leve. Terreno: Plano a ondulado;","1.51666666666667","","2025-08-21","Super giro: Gire o mais rápido possível até começar a 'pular' no selim. Meta > 110rpm Tempo = aerobico intenso. Deve ser um ritmo duro, mas que consiga sustentar sem maiores problemas. Ao final do estímulo deve estar sentindo que trabalhou duro.","39000","","","","","1.51774168014526","7.1377978710425","","","","117","157","","","0.615779898935718","64.42","70","20","1","0","0","0","0","","","","","","","","","","","","","","2","1"
"Running","Run","aeróbico confortável (de preferência, incluir um pouco de subida)","1","","2025-08-22","","11455.73046875","","","","","1.00093138217926","3.17899990081787","","170","","158","173","","","0.779873145144368","67.43","5","29","26","0","0","0","0","","","","","","","","","","","","","","2","1"
"2.800","Swim","600 crw 50 uma mão fechada outra aberta 600 pé de pato paraquedas Mãos fechadas 16x100braço palmar 1 a1 / 1 a2 / 1 a3 BLOCOS DE 3 PROGRESSIVO DE 3 EM 3","","","2025-08-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2025-08-22","","0","","","","","0.703785836696625","0","","","","98","144","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ENdurance + Tempo","Bike","20km em Endurance (85-95rpm) 15km em TEmpo (70-80rpm) 5km regenerativo","","40000","2025-08-23","","40000","","",""," *24/08/2025 Sarah Lotif: Fiz na rua hoje, minha bateria do relógio acabou no km33, mas eu fiz os outros 7km e marquei o time restante e coloquei tudo aqui! 🙏🚀* *24/08/2025 Sarah Lotif: Garotiei dessa vez pq esqueci de colocar o relógio pra carregar! Pqp kkkkk* *25/08/2025 SAAB SPORTS: blz! Se sentiu bem?*","1.62166666666667","6.85166152792052","","","","134","164","","","0.668938020471349","69.37","37","32","7","8","0","0","0","","","","","","","","","","","","","","1","1"
"Transição","Run","3km fácil 7km aerobico moderado/intenso 4km facil","1.14944444444444","14000","2025-08-23","","14005.7900390625","","",""," *24/08/2025 Sarah Lotif: Esse treino hoje foiiii braboooo demais, pqp 🙏💆🏻‍♀️🤣🤣🤣 To sentindo que vocês querem me fuuu… né ?! Kkkkk brincadeira! Só tem uma coisa, minha panturrilha direita está demorando pra curar 100% ( nos 7km correndo firme ela não incomoda) mas se eu corro devagar dói um pouco! Fiz exame de imagem e deu um contratura grau 1 na parte medial ( mas o médico disse q é normal pelo tanto de treino) mas vai curar, pq eu já faço a Fisio, acupuntura, recovery, etc. tenho q ter paciência só e avaliar os dias de treino de corrida. Essa segunda eu acho melhor eu segurar na corrida ( tô vendo que tem 50min leve, mas acho melhor eu segurar e correr só quarta)* *25/08/2025 SAAB SPORTS: tá chorando e entregando um aeróbico moderado com 4:27 de pace, acho que dá pra apertar mais ...kkkk*","1.12318050861359","3.46399998664856","","174","","170","188","","","0.851997025972259","90.57","4","7","4","37","12","2","0","","","","","","","","","","","","","","6","1"
"","Bike","1h Endurance 3x 20min progressivo 1 a 3 com 10min REGenerativo/ENDurance. Complete o treino em ENDurance","3","","2025-08-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobico leve","Run","aerobico confortavel/leve","0.833333333333333","","2025-08-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Day-off (Está sem comer direito desde ontem)","Day Off","","","","2025-08-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REGenerativo / ENDurance","Bike","aerobico leve! varie cadencia, mas nao force o ritmo ao longo do treino.","1.25","","2025-08-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Run","aeróbico confortavel/leve","0.75","","2025-08-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.600","Swim","OBJETIVO POSIÇÃO DE NADO 9X400m 30´de intervalo entre A1rodado e bem nadado 1. CRAWL solto 2. PERNA pe de pato prancha 3. 50palmateio /50 nadando 4. 50 uma mão fechada outra aberta 50/50 snorkel 5. Material invert 200/200 snorkel 6. Braço boia palmar invertido skornel 7. Braço boia palmar normal sknorkel 8. pé de pato palmar a1 9. Nadando só pé de pato","","","2025-08-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REGenerativo / ENDurance","Bike","aerobico leve! varie cadencia, mas nao force o ritmo ao longo do treino.","1.25","","2025-08-28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aeróbico confortável","Run","aeróbico confortavel/leve","0.75","","2025-08-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.200","Swim","800 aquec. 10x 100 (2 moderado 3 forte) com 30seg 400 solto","0.75","","2025-08-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Longo Confortável + 4x15min Z3/Z4","Bike","Longo confortável (inclua 4x 15min intenso Z3/Z4 ao longo do treino). Não estruturado","3","","2025-08-30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18 a 22km Z2/3","Run","18 a 22km Z2/3","1.57055555555556","18000","2025-08-31","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indoor Cycling","Bike","","","","2025-08-31","","16000","","",""," *01/09/2025 SAAB SPORTS: como foi sarinha? se sentiu bem fazendo a bike?*","0.677862763404846","6.55655493173926","","","","110","127","","","0.603204571350038","27.06","41","0","0","0","0","0","0","","","","","","","","","","","","","","1","1"
"3.000","Swim","400 solto 400 perna prancha 400 material invertido 200/200 3x 4X50 nadando pé de pato a3+ com 10´ + 400BR paLmar +boia SNORKEL PARAQUEDAS A1 ENTRE AS séries","","","2025-09-02","","3000","","","","","0.856894447008769","0.972504065398391","","30","","128","162","","","0.214437146420345","0.84","","","","","","","","","","","","","","","","","","","","","3","1"
"REGENERATIVO 1:15h","Bike","Dia de girar leve e relaxar! Mantenha a baixa intensidade.","1.25","","2025-09-02","","32000","","",""," *01/09/2025 SAAB SPORTS: semana leve hein Sarahhh* *02/09/2025 Sarah Lotif: To leveeeee kkkkk*","1.25063669681549","7.10749085767494","","","","117","131","","","0.598853111490468","49.97","75","0","0","0","0","0","0","","","","","","","","","","","","","","1","1"
"Aeróbico confortável 40min","Run","aeróbico leve/confortável","0.666666666666667","","2025-09-03","PSE - Percepção Subjetiva de Esforço Z2- Low Aerobic/Aeróbico Leve: 1-2 Z3- Moderate Aerobic/Aeróbico Moderado: 2-3 Z4- High Aerobic/Aeróbico Intenso/Race Pace: 4-5 Z6- Threshold/Limiar: 6-7 Z8- Vo2: 8 Z10- Cap. Anaeróbica: 9-10","7589.72021484375","","","","","0.667312204837799","3.15899991989136","","171","","158","169","","","0.776004190228367","44.06","6","9","25","0","0","0","0","","","","","","","","","","","","","","2","1"
"3.000","Swim","200 solto 2X 8X25 AC 45’ velocidade só snorkel 1x800 Br PALmar SNORKEL paraquedas A1 ENTRE AS SÉRIES 10X100CR AC a2 com 20´sem material meta1.30","","","2025-09-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2025-09-03","","0","","","","","0.708812773227692","0","","","","107","166","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.300","Swim","300 solto 3x 500 paraquedas de pato e palmar a1 5x100 pé de pato palmar a3 com 15´","1","","2025-09-04","","3375","","","","","1.00727444701725","0.927707531610775","","27","","112","142","","","0.228028717178475","1.19","","","","","","","","","","","","","","","","","","","","","3","1"
"ENDURANCE 1h","Bike","Dia de rodar em Endurance! Esse treino tem como principais objetivos: aumentar a capacidade aeróbica, melhorar o sistema cardiovascular e tornar o corpo mais eficiente e econômico. Mantenha a intensidade proposta!","1","","2025-09-04","PSE: Percepção Subjetiva de Esforço Regenerativo: 1-2 Endurance: 2-3 Tempo (moderado): 4-5 Limiar: 6-7 Vo2 Máx: 8 Cap. Anaeróbica: 9 Potência Neuromuscular: 10","29000","","","","","0.992222222222222","8.11870100783875","","","","132","159","","","0.624713092164818","42.89","34","25","0","0","0","0","0","","","","","","","","","","","","","","1","1"
